Ticker,Date,Price,Volume
ACB,20130402,14.3,259400
ACB,20130401,14.3,235700
ACB,20130329,14.4,188300
ACB,20130328,14.4,232000
ACB,20130327,14.3,268300
ACB,20130326,14.3,63700
ACB,20130325,14.5,154200
ACB,20130322,14.5,464500
ACB,20130321,14.5,188800
ACB,20130320,14.6,111200
ACB,20130319,14.5,66000
ACB,20130318,14.5,295500
ACB,20130315,14.6,78200
ACB,20130314,14.5,135300
ACB,20130313,14.5,173900
ACB,20130312,14.6,110600
ACB,20130311,14.6,240000
ACB,20130308,14.5,173900
ACB,20130307,14.4,238100
ACB,20130306,14.5,126600
ACB,20130305,14.3,308000
ACB,20130304,14.4,493100
ACB,20130301,14.7,183700
ACB,20130228,14.5,120800
ACB,20130227,14.5,579700
ACB,20130226,14.4,1170100
ACB,20130225,14.7,279200
ACB,20130222,14.7,725900
ACB,20130221,14.5,1450600
ACB,20130220,15.3,794100
ACB,20130219,15.5,440200
ACB,20130218,15.6,469400
ACB,20130208,15.7,388500
ACB,20130207,15.4,457800
ACB,20130206,15.4,542700
ACB,20130205,15.4,602000
ACB,20130204,15.4,387200
ACB,20130201,15.5,583900
ACB,20130131,15.5,860100
ACB,20130130,15.7,823600
ACB,20130129,15.7,572800
ACB,20130128,15.5,1135900
ACB,20130125,15.4,786500
ACB,20130124,15.2,333700
ACB,20130123,14.9,331100
ACB,20130122,14.9,738000
ACB,20130121,15.4,341900
ACB,20130118,15.6,679700
ACB,20130117,15.8,1068300
ACB,20130116,16,1346900
ACB,20130115,16,1310500
ACB,20130114,15.8,614300
ACB,20130111,16,806200
ACB,20130110,16.1,880700
ACB,20130109,15.9,3861400
ACB,20130108,15.2,2180000
ACB,20130107,15.1,1355700
ACB,20130104,15.1,1170100
ACB,20130103,14.9,1967200
ACB,20130102,15.2,2578600
ACB,20121228,14.5,641500
ACB,20121227,14.3,598100
ACB,20121226,14.3,349400
ACB,20121225,14.1,460300
ACB,20121224,14.1,265600
ACB,20121221,14.1,162600
ACB,20121220,14.2,203800
ACB,20121219,14.3,335800
ACB,20121218,14,356300
ACB,20121217,14.4,387800
ACB,20121214,14.8,1305300
ACB,20121213,14.1,666300
ACB,20121212,13.6,236600
ACB,20121211,13.2,84900
ACB,20121210,13.2,176300
ACB,20121207,13,41800
ACB,20121206,13,106200
ACB,20121205,13.1,158300
ACB,20121204,12.8,79700
ACB,20121203,12.8,85000
ACB,20121130,12.7,85200
ACB,20121129,12.9,37600
ACB,20121128,12.9,75800
ACB,20121127,12.9,57600
ACB,20121126,12.9,93300
ACB,20121123,12.7,92400
ACB,20121122,12.9,79900
ACB,20121121,12.9,68000
ACB,20121120,13,55700
ACB,20121119,12.9,88600
ACB,20121116,13.1,105300
ACB,20121115,13.2,155800
ACB,20121114,13.3,149900
ACB,20121113,13.3,228600
ACB,20121112,13.3,148700
ACB,20121109,13.1,241100
ACB,20121108,13,85000
ACB,20121107,13.2,121200
ACB,20121106,12.8,89400
ACB,20121105,12.8,203800
ACB,20121102,12.7,795700
ACB,20121101,13.3,310200
ACB,20121031,13.4,300000
ACB,20121030,13.6,120900
ACB,20121029,13.9,537800
ACB,20121026,13.9,550300
ACB,20121025,14,844000
ACB,20121024,13.9,659900
ACB,20121023,13.8,696800
ACB,20121022,13.7,967700
ACB,20121019,13.8,1564600
ACB,20121018,14,1191600
ACB,20121017,14.1,665600
ACB,20121016,14.2,1351800
ACB,20121015,14,1528800
ACB,20121012,14.1,522200
ACB,20121011,14.2,2444200
ACB,20121010,14,1987500
ACB,20121009,14,2432500
ACB,20121008,14,1692900
ACB,20121005,13.9,699900
ACB,20121004,13.8,359600
ACB,20121003,13.9,709600
ACB,20121002,13.9,677300
ACB,20121001,14,1087100
ACB,20120928,14.4,883100
ACB,20120927,14.4,455700
ACB,20120926,14.6,665500
ACB,20120925,14.8,1092100
ACB,20120924,15.1,1761000
ACB,20120921,14.4,2269400
ACB,20120920,13.5,1998300
ACB,20120919,14,4103000
ACB,20120918,14.9,742700
ACB,20120917,16,740500
ACB,20120914,15.9,728300
ACB,20120913,15.5,631500
ACB,20120912,15.6,332700
ACB,20120911,15.7,456200
ACB,20120910,15.9,902000
ACB,20120907,16.9,716500
ACB,20120906,17.1,550800
ACB,20120905,17.3,758800
ACB,20120904,17.4,523200
ACB,20120831,17.4,563300
ACB,20120830,17.6,433300
ACB,20120829,17.6,734900
ACB,20120828,16.7,757900
ACB,20120827,17.7,924300
ACB,20120824,19.1,1633900
ACB,20120823,18.4,260600
ACB,20120822,19.7,688900
ACB,20120821,21.1,904600
ACB,20120820,22.7,87100
ACB,20120817,22.6,194000
ACB,20120816,22.6,71000
ACB,20120815,22.6,89800
ACB,20120814,22.6,154300
ACB,20120813,22.6,127800
ACB,20120810,22.6,65300
ACB,20120809,22.6,42800
ACB,20120808,22.6,151100
ACB,20120807,22.5,126800
ACB,20120806,22.6,222600
ACB,20120803,22.6,57800
